customer_id,year_month,nb_transactions,ElasticNet,KNeighborsRegressor,MLP,prediction_aggregated
4756446,2019-10,20,171,236,307,238
4756446,2019-11,78,199,218,275,231
4756446,2019-12,46,163,127,223,171
4756752,2019-10,9,48,32,35,38
4756752,2019-11,0,34,16,25,25
4756752,2019-12,9,32,16,22,24
4763064,2019-10,1,35,5,16,19
4763064,2019-11,17,48,10,13,24
4764333,2019-10,15,73,114,83,90
4764333,2019-11,15,58,34,36,42
4764333,2019-12,9,38,15,43,32
4804651,2019-10,74,172,138,206,172
4804651,2019-11,8,112,107,150,123
4804651,2019-12,4,87,101,107,98
4828886,2019-10,22,180,67,205,151
4828886,2019-11,80,208,213,258,226
4828886,2019-12,13,139,100,174,137
4849811,2019-10,9,52,42,41,45
4849811,2019-11,52,90,30,66,62
4849811,2019-12,29,77,21,47,48
4859559,2019-10,13,93,22,75,63
4859559,2019-11,24,88,8,68,55
4859559,2019-12,10,64,9,28,34
4893343,2019-10,437,892,394,910,732
4893343,2019-11,539,828,475,768,690
4893343,2019-12,223,682,552,968,734
4896399,2019-10,11,66,50,61,59
4896399,2019-11,0,40,39,39,39
4896399,2019-12,2,32,38,28,33
4908594,2019-10,7,144,122,234,167
4908594,2019-11,65,146,164,181,164
4908594,2019-12,10,79,71,93,81
4942230,2019-10,103,322,87,232,214
4942230,2019-11,67,241,67,292,200
4942230,2019-12,29,180,79,176,145
5007710,2019-10,17,58,43,84,62
5007710,2019-11,35,72,46,98,72
5007710,2019-12,19,60,51,75,62
